analyte;ISTD
7  Li  [ No Gas ] ;45  Sc ( ISTD )  [ He ] 
9  Be  [ No Gas ] ;45  Sc ( ISTD )  [ He ] 
11  B  [ No Gas ] ;45  Sc ( ISTD )  [ He ] 
23  Na  [ He ] ;45  Sc ( ISTD )  [ He ] 
24  Mg  [ He ] ;45  Sc ( ISTD )  [ He ] 
27  Al  [ He ] ;45  Sc ( ISTD )  [ He ] 
28  Si  [ He ] ;45  Sc ( ISTD )  [ He ] 
31  P  [ He ] ;45  Sc ( ISTD )  [ He ] 
39  K  [ He ] ;45  Sc ( ISTD )  [ He ] 
43  Ca  [ He ] ;45  Sc ( ISTD )  [ He ] 
44  Ca  [ He ] ;45  Sc ( ISTD )  [ He ] 
47  Ti  [ He ] ;45  Sc ( ISTD )  [ He ] 
51  V  [ He ] ;45  Sc ( ISTD )  [ He ] 
52  Cr  [ He ] ;45  Sc ( ISTD )  [ He ] 
53  Cr  [ He ] ;45  Sc ( ISTD )  [ He ] 
55  Mn  [ He ] ;45  Sc ( ISTD )  [ He ] 
56  Fe  [ He ] ;45  Sc ( ISTD )  [ He ] 
57  Fe  [ He ] ;45  Sc ( ISTD )  [ He ] 
59  Co  [ He ] ;45  Sc ( ISTD )  [ He ] 
60  Ni  [ He ] ;45  Sc ( ISTD )  [ He ] 
63  Cu  [ He ] ;45  Sc ( ISTD )  [ He ] 
65  Cu  [ He ] ;45  Sc ( ISTD )  [ He ] 
66  Zn  [ He ] ;45  Sc ( ISTD )  [ He ] 
67  Zn  [ He ] ;45  Sc ( ISTD )  [ He ] 
68  Zn  [ He ] ;45  Sc ( ISTD )  [ He ] 
71  Ga  [ He ] ;45  Sc ( ISTD )  [ He ] 
72  Ge  [ He ] ;45  Sc ( ISTD )  [ He ] 
75  As  [ He ] ;45  Sc ( ISTD )  [ He ] 
77  Se  [ He ] ;45  Sc ( ISTD )  [ He ] 
78  Se  [ He ] ;45  Sc ( ISTD )  [ He ] 
80  Se  [ He ] ;45  Sc ( ISTD )  [ He ] 
82  Se  [ He ] ;45  Sc ( ISTD )  [ He ] 
85  Rb  [ No Gas ] ;115  In ( ISTD )  [ No Gas ] 
88  Sr  [ No Gas ] ;115  In ( ISTD )  [ No Gas ] 
89  Y  [ No Gas ] ;115  In ( ISTD )  [ No Gas ] 
90  Zr  [ No Gas ] ;115  In ( ISTD )  [ No Gas ] 
93  Nb  [ No Gas ] ;115  In ( ISTD )  [ No Gas ] 
95  Mo  [ No Gas ] ;115  In ( ISTD )  [ No Gas ] 
97  Mo  [ No Gas ] ;115  In ( ISTD )  [ No Gas ] 
111  Cd  [ No Gas ] ;115  In ( ISTD )  [ No Gas ] 
118  Sn  [ No Gas ] ;115  In ( ISTD )  [ No Gas ] 
121  Sb  [ No Gas ] ;115  In ( ISTD )  [ No Gas ] 
133  Cs  [ No Gas ] ;115  In ( ISTD )  [ No Gas ] 
137  Ba  [ No Gas ] ;115  In ( ISTD )  [ No Gas ] 
139  La  [ No Gas ] ;115  In ( ISTD )  [ No Gas ] 
140  Ce  [ No Gas ] ;115  In ( ISTD )  [ No Gas ] 
141  Pr  [ No Gas ] ;115  In ( ISTD )  [ No Gas ] 
146  Nd  [ No Gas ] ;115  In ( ISTD )  [ No Gas ] 
147  Sm  [ No Gas ] ;115  In ( ISTD )  [ No Gas ] 
153  Eu  [ No Gas ] ;115  In ( ISTD )  [ No Gas ] 
157  Gd  [ No Gas ] ;115  In ( ISTD )  [ No Gas ] 
159  Tb  [ No Gas ] ;115  In ( ISTD )  [ No Gas ] 
163  Dy  [ No Gas ] ;115  In ( ISTD )  [ No Gas ] 
165  Ho  [ No Gas ] ;115  In ( ISTD )  [ No Gas ] 
166  Er  [ No Gas ] ;115  In ( ISTD )  [ No Gas ] 
169  Tm  [ No Gas ] ;115  In ( ISTD )  [ No Gas ] 
172  Yb  [ No Gas ] ;115  In ( ISTD )  [ No Gas ] 
175  Lu  [ No Gas ] ;115  In ( ISTD )  [ No Gas ] 
178  Hf  [ No Gas ] ;115  In ( ISTD )  [ No Gas ] 
181  Ta  [ No Gas ] ;115  In ( ISTD )  [ No Gas ] 
182  W  [ No Gas ] ;115  In ( ISTD )  [ No Gas ] 
185  Re  [ No Gas ] ;115  In ( ISTD )  [ No Gas ] 
205  Tl  [ No Gas ] ;115  In ( ISTD )  [ No Gas ] 
206  Pb  [ No Gas ] ;115  In ( ISTD )  [ No Gas ] 
207  Pb  [ No Gas ] ;115  In ( ISTD )  [ No Gas ] 
208  Pb  [ No Gas ] ;115  In ( ISTD )  [ No Gas ] 
209  Bi  [ No Gas ] ;115  In ( ISTD )  [ No Gas ] 
232  Th  [ No Gas ] ;115  In ( ISTD )  [ No Gas ] 
238  U  [ No Gas ] ;115  In ( ISTD )  [ No Gas ] 
